"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Section_Resource__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nPortal__Portal_Header_Text__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nPortal__Portal_Subheader_Text__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Optional_Configuration__c"
"a2F92000001ZWcwEAG","false","Account Covenants","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42766518355088906","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWcxEAG","false","Covenant Create","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42875744592566394","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWcyEAG","false","Covenant Details","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42759414499582695","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWczEAG","false","Covenant Edit","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42614993743143902","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd0EAG","false","Covenant Edit Active","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42120934667195637","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd1EAG","false","Covenant Associate","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42686393521954659","LLC_BI__Loan__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd2EAG","false","Covenant Compliance Table","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42229120230386675","LLC_BI__Covenant_Compliance2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd3EAG","false","Covenant Associated Loans","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4upEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42222821058566495","LLC_BI__Loan__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd4EAG","false","Loan Covenants","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42672873590647509","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd5EAG","false","Covenant Create","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42751233014956122","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd6EAG","false","Covenant Details","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42230401151859655","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd7EAG","false","Covenant Edit","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42355821049576019","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd8EAG","false","Covenant Edit Active","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42855695084133170","LLC_BI__Covenant2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWd9EAG","false","Covenant Associate","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42733171627574027","LLC_BI__Loan__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWdAEAW","false","Covenant Compliance Table","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42455376045483796","LLC_BI__Covenant_Compliance2__c","false","","","","","","false","false","","","false",""
"a2F92000001ZWdBEAW","false","Covenant Associated Loans","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2G92000000X4uqEAC","false","false","false","false","false","1.0","slide","true","false","false","false","","false","MappedSObjectScreenResource","42588758886318005","LLC_BI__Loan__c","false","","","","","","false","false","","","false",""
